,시설명,도로명주소,위도,경도,시도명
0,001스테이지,서울특별시 종로구 대학로 116,37.58153269,127.002336,서울특별시
1,05스튜디오,경기도 파주시 탄현면 헤이리마을길 38-25,37.78641343,126.698359,경기도
2,072골프훈련소,경기도 안양시 동안구 흥안대로434번길 19-33,37.39403098,126.976543,경기도
3,1004섬수석미술관,전라남도 신안군 자은면 자은서부2길 508-68,34.8800925,125.996874,전라남도
4,123GC,경기도 고양시 덕양구 통일로 43-168,37.64140522,126.903049,경기도
5,148아트스퀘어,경상북도 영주시 대학로 77,36.80700113,128.616142,경상북도
6,153가족캠프,경기도 과천시 새술막길 10-17,37.42870998,126.991199,경기도
7,168아트스퀘어,충청북도 충주시 예성로 168,36.97189318,127.933612,충청북도
8,1987박종철기념관,nan,37.46938355,126.938152,nan
9,1박2일 녹수다리 유원지,nan,37.76365653,127.392225,nan
10,1MSPACE,서울특별시 서대문구 연세로4길 27,37.55760078,126.938198,서울특별시
11,2.28민주운동기념회관,대구광역시 중구 2.28길 9,35.85840431,128.590354,대구광역시
12,2001아울렛 구로 어린이 소극장,서울특별시 구로구 중앙로1길 36,37.49807255,126.862677,서울특별시
13,2012농어촌산업박람회,경기도 고양시 일산서구 킨텍스로 217-60,37.66893348,126.745803,경기도
14,2012명품병원의료관광전시회,경기도 고양시 일산서구 킨텍스로 217-59,37.66469545,126.742064,경기도
15,2012여수세계박람회재단,전라남도 여수시 박람회길 1,34.75218956,127.746501,전라남도
16,24시골프,경기도 시흥시 서해안로 1613,37.44850127,126.787247,경기도
17,29아트,경기도 하남시 조정대로 150,37.5535257,127.194669,경기도
18,3.15국립묘지,경상남도 창원시 마산회원구 3.15성역로 75,35.25266875,128.587535,경상남도
19,3.15아트센터,경상남도 창원시 마산회원구 삼호로 135,35.22581853,128.577106,경상남도
20,3.15의거발원지기념관,경상남도 창원시 마산합포구 문화의길 54,35.20709,128.577275,경상남도
21,3.1순국기념관,경기도 화성시 향남읍 제암길 50,37.12630809,126.891596,경기도
22,3.1운동기념관,경기도 안성시 원곡면 만세로 868,37.06278466,127.175295,경기도
23,3.1의거기념관,경상북도 포항시 북구 송라면 대전길120번길 24,36.25369793,129.355422,경상북도
24,30CUBE아쿠아,경상북도 경주시 용담로92번길 43-4,35.86736822,129.214133,경상북도
25,313아트프로젝트,서울특별시 성북구 성북로31길 34,37.59501819,126.989272,서울특별시
26,360도CC,경기도 여주시 강천면 부평로 609,37.30257197,127.739319,경기도
27,365계단,nan,35.36445864,126.396027,nan
28,365세이프타운,강원도 태백시 평화길 15,37.1025746,129.025226,강원특별자치도
29,38문화예술창작소,경기도 포천시 영중면 전영로1429번길 5,38.01616895,127.217375,경기도
30,3D공룡체험박물관,경기도 파주시 문발로 155,37.70844017,126.685174,경기도
31,3D과학체험관,경상남도 양산시 웅상대로 1009-1,35.38987046,129.155758,경상남도
32,3D블랙아트,서울특별시 광진구 광나루로 441,37.547246,127.078304,서울특별시
33,3RDMUSEUM,서울특별시 마포구 잔다리로3길 4,37.55163429,126.919113,서울특별시
34,4.16기억전시관,경기도 안산시 단원구 인현중앙길 38,37.32516183,126.821402,경기도
35,4.19국립묘지4.19기념관,서울특별시 강북구 4.19로8길 17,37.64839067,127.009071,서울특별시
36,4.19혁명기념회관,서울특별시 종로구 새문안로 17,37.56744493,126.967694,서울특별시
37,40계단거리,nan,35.10338417,129.035636,nan
38,40계단문화관,부산광역시 중구 동광길 49,35.10500721,129.03448,부산광역시
39,4차산업혁명체험센터,서울특별시 성동구 살곶이길 327,37.55467447,127.04049,서울특별시
40,4D무비카광주지사,경기도 광주시 이배재로 155-19,37.42818857,127.237393,경기도
41,4EST수목원,nan,34.45491283,126.596928,nan
42,5.18기념공원,광주광역시 서구 상무민주로 61,35.15574851,126.858584,광주광역시
43,5.18기념문화센터,광주광역시 서구 내방로 152,35.15830536,126.857556,광주광역시
44,5.18기념문화회관민주홀,광주광역시 서구 내방로 152,35.15830536,126.857556,광주광역시
45,5.18민주화운동기록관,광주광역시 동구 금남로 221,35.14956323,126.916756,광주광역시
46,5.18역사문화기록관,광주광역시 동구 금남로 245,35.14835809,126.91873,광주광역시
47,55아트센터,전라남도 무안군 일로읍 사교길 3,34.87622164,126.517796,전라남도
48,5월5일공방,경기도 고양시 일산서구 법곳길 368,37.67271123,126.700633,경기도
49,6.25전쟁납북자기념관,경기도 파주시 문산읍 임진각로 153,37.88897896,126.743209,경기도
50,6.25전쟁체험전시관,강원도 고성군 현내면 통일전망대로 453,38.58407952,128.373679,강원특별자치도
