,축제명,소재지도로명주소,위도,경도,시도명
0,강릉커피축제,강원도 강릉시 임영로131번길 6 (용강동),37.75294455,128.8919029,강원특별자치도
1,전국생활문화축제 in강릉,강원도 강릉시 경강로 2021번길9-1,37.75040333,128.8898121,강원특별자치도
2,2022 강릉와인축제,강원도 강릉시 경강로 2111,37.7558922453,128.8974692754,강원특별자치도
3,2022 강릉누들축제,강원도 강릉시 경강로 2112,37.7553861171,128.8981649115,강원특별자치도
6,구례산수유꽃축제,nan,35.318767,127.4705342214,nan
7,2016 안양 시민축제,경기도 안양시 동안구 관평로 149 (평촌동),37.390137,126.9613287,경기도
8,2016 안양 아줌마축제,경기도 안양시 동안구 관평로 149 (평촌동),37.390137,126.9613287,경기도
9,2016 제5회 안양공공예술프로젝트,경기도 안양시 만안구 예술공원로 180(안양동),37.419406,126.925606,경기도
10,2014 안양시민축제,경기도 안양시 동안구 관평로 149 (평촌동),37.390137,126.9613287,경기도
11,2017 안양충훈벚꽃축제,경기도 안양시 만안구 석수로 159,37.404615,126.896157,경기도
12,2017 안양 아줌마축제,경기도 안양시 동안구 관평로 149 (평촌동),37.390137,126.9613287,경기도
13,2017 광복기념음악회,경기도 안양시 만안구 문예로 36번길 16,37.384588,126.931365,경기도
14,2017 안양 시민축제,경기도 안양시 동안구 관평로 149 (평촌동),37.390137,126.9613287,경기도
15,2018 안양충훈벚꽃축제,경기도 안양시 만안구 석수로 159,37.404615,126.896157,경기도
16,2018 안양여성축제,경기도 안양시 동안구 관평로 149 (평촌동),37.390137,126.9613287,경기도
17,2018 광복기념음악회,경기도 안양시 만안구 병목안로 215,37.385289,126.907675,경기도
18,2018 안양 시민축제,경기도 안양시 동안구 관평로 149 (평촌동),37.390137,126.9613287,경기도
19,마곡사 신록축제,충청남도 공주시 사곡면 마곡사로 966 마곡사,36.55740589,127.011603,충청남도
20,제68회 백제문화제,충청남도 공주시 신관동 553,36.47835102,127.1204236,충청남도
21,제5회 겨울공주 군밤축제,충청남도 공주시 금학동 111-1,36.43336915,127.124038,충청남도
22,제1회 유구색동수국정원 꽃축제,nan,36.5555032985,126.9543952096,nan
23,보이지 않아도 보이는,강원도 춘천시 스포츠타운길399번길 25 어린이회관,37.874066,127.702455,강원특별자치도
24,Creative energy_김정현 개인展,강원도 춘천시 서부대성로 71,37.88237413,127.73132,강원특별자치도
