,사업장명,도로명전체주소,좌표정보(x),좌표정보(y),시도명
0,(주)그랜드호텔,광주광역시 동구 서석로 24 (불로동),192324.317553908,182930.410213135,광주광역시
1,호텔에어포트,대구광역시 동구 공항로 221 (지저동),347946.247615409,267876.718368236,대구광역시
2,사조리조트 경주휴양콘도미니엄,경상북도 경주시 영불로 223 (진현동),410221.401616073,256134.650719786,경상북도
3,에버그린관광호텔,충청남도 논산시 연무읍 황화로 369,208677.962288645,289355.840865188,충청남도
4,그랑프리관광호텔,광주광역시 동구 남문로 689 (학동),193391.477524096,181453.915599891,광주광역시
5,(주)송선관광호텔,광주광역시 동구 동계천로 22 (대인동),192154.15247685,184070.125702114,광주광역시
6,지니게스트하우스2,"부산광역시 수영구 광안해변로 249, 7층 (민락동, 홍윤빌딩)",393213.336569594,186059.235750394,부산광역시
7,엔터코리아 땅끝콘도,전라남도 해남군 송지면 땅끝해안로 1869,155933.086427519,90641.0960968504,전라남도
8,(주)제주힐리조트,제주특별자치도 제주시 한림읍 명월성로 394,131210.896142948,-13346.0246264045,제주특별자치도
9,주식회사 코레스코(치악산 휴양콘도미니엄),강원특별자치도 횡성군 우천면 전재로 254,296891.795638232,437821.09810028,강원특별자치도
10,(주)현대스카이리조트,강원특별자치도 속초시 동해대로 3964 (조양동),340179.69140755,521888.139514971,강원특별자치도
11,동방관광호텔,부산광역시 동래구 금강로 110 (온천동),389291.717212958,192996.253435511,부산광역시
12,완도 퍼핀스베이 리조트,전라남도 완도군 신지면 신지로582번길 49,184626.976057085,92578.823477463,전라남도
13,광양황금관광호텔,nan,251894.836072734,176210.160137935,nan
14,푸른콘도,"제주특별자치도 제주시 한림읍 귀덕6길 146, 푸른콘도",133987.755817326,-6943.29088357127,제주특별자치도
15,베니키아호텔거제,경상남도 거제시 성산로 78-16 (옥포동),355812.839497096,157207.283151994,경상남도
16,영일대호텔,경상북도 포항시 남구 행복길75번길 11 (대잠동),410402.140540467,281868.211429299,경상북도
17,주식회사 금호디앤시,nan,358833.442734054,223484.330762708,nan
18,통도자연관광호텔(주),경상남도 양산시 하북면 신평강변8길 11,388965.754340147,223508.756765724,경상남도
19,프린스관광호텔,경기도 군포시 군포로 697  (금정동),195027.224078745,429518.312363804,경기도
20,(주)레이크힐스리조트 안성,경기도 안성시 양성면 양성로 349-61,217818.35563758,398126.493351239,경기도
21,럭셔리 관광호텔,경기도 안산시 단원구 중앙대로 945 (고잔동),185904.3210615,423906.352921461,경기도
22,군산관광호텔,nan,175102.696511857,275130.411699739,nan
23,(주)토비스알앤씨,전북특별자치도 무주군 무풍면 구천동로 350,274030.57803702,265487.3819692,전북특별자치도
24,충주호리조트휴양콘도미니엄,충청북도 충주시 동량면 호반로 675-20,292540.430340913,392996.439496819,충청북도
25,충주레이크팜,충청북도 충주시 동량면 호반로 675-27  (487-3외 3필지),292398.449820254,393209.498374058,충청북도
26,라마다호텔앤스위트 서울센트럴,"서울특별시 중구 칠패로 27  (순화동,외 1필지 C동)",197462.198757043,450878.211786274,서울특별시
27,솔레어,충청남도 홍성군 홍성읍 조양로205번길 60,170860.313630679,344405.382734362,충청남도
28,골든베이골프앤리조트,충청남도 태안군 근흥면 정산포로 217,125959.374679566,356945.59967705,충청남도
29,라모스 호스텔,충청남도 태안군 태안읍 안도내길 28-14,140222.398638056,368136.87015569,충청남도
30,베이브리즈,충청남도 태안군 소원면 만리포2길 235-9,123773.434480262,366219.797876332,충청남도
31,아일랜드리솜,충청남도 태안군 안면읍 꽃지해안로 204,140547.515991585,332172.510405992,충청남도
32,말리오션스파,충청남도 태안군 소원면 만리포1길 95,123624.044708398,365392.520627493,충청남도
33,롱비치패밀리호텔,충청남도 태안군 소원면 만리포2길 120,123294.588254304,365146.198721146,충청남도
34,백제관광호텔,충청남도 부여군 부여읍 북포로 108,192932.710363912,310125.00421587,충청남도
35,(주)호텔롯데,충청남도 부여군 규암면 백제문로 400,191011.994835623,311472.3715919,충청남도
36,서산수 휴양콘도미니엄,충청남도 서산시 대산읍 삼길포7로 6,151134.310211358,388392.726414008,충청남도
37,베니키아호텔 서산,"충청남도 서산시 안견로 465, 관광호텔 (갈산동)",149762.965546235,364903.326480967,충청남도
38,소호,"전라남도 목포시 만호로 29, 2층 (만호동)",143537.846697072,143048.851767364,전라남도
39,호텔 썬비,"서울특별시 종로구 인사동7길 26, 호텔 썬비 (관훈동)",198586.86523867,452307.07147577,서울특별시
40,루미아 호텔,서울특별시 중구 퇴계로8길 31-9 (회현동1가),198142.881185174,450638.810478052,서울특별시
41,소테츠호텔즈 더 스프라지르 서울 동대문,서울특별시 중구 장충단로 226 (광희동2가),200614.724711748,451381.249500534,서울특별시
42,호텔 크레토,서울특별시 중구 명동8가길 53 (충무로2가),198877.823601669,451079.561839622,서울특별시
43,24게스트하우스 명동타운점,"서울특별시 중구 퇴계로 61, 10층 (남창동)",198065.845616529,450787.39677054,서울특별시
44,호텔 더 디자이너스 동대문,서울특별시 중구 퇴계로 306 (쌍림동),200429.929353714,451264.595792065,서울특별시
45,솔라리아 니시테츠 호텔 서울 명동,"서울특별시 중구 명동8길 27 (명동2가, 엠 플라자)",198619.38819773,451135.740279961,서울특별시
46,24게스트하우스 서울시청점,"서울특별시 중구 덕수궁길 7, 3층 (태평로2가, 오천회관빌딩)",197838.506308443,451380.770303032,서울특별시
47,호텔 스카이파크 센트럴 명동점,"서울특별시 중구 명동9길 16 (명동1가, 명동 센트럴빌딩 호텔스카이파크)",198625.254251263,451373.686002948,서울특별시
48,에이큐브 호텔,"서울특별시 중구 동호로35길 5 (을지로5가, 석광빌딩)",200110.335302043,451549.054429182,서울특별시
49,크라운파크 호텔,"서울특별시 중구 남대문로7길 19 (소공동, 삼영빌딩)",198232.003862907,451276.307297241,서울특별시
50,소테츠호텔즈 더 스프라지르 서울 명동,서울특별시 중구 남대문로5길 15 (북창동),198053.638327649,451086.299785656,서울특별시
51,2U호스텔,"서울특별시 중구 청계천로 184 (주교동, 남강빌딩)",199770.377675687,451814.600448477,서울특별시
52,롯데시티호텔명동,"서울특별시 중구 삼일대로 362 (장교동, 장교빌딩)",198876.925292257,451628.15318809,서울특별시
53,호텔 스카이파크3,서울특별시 중구 퇴계로 139 (충무로2가),198814.884440598,451003.686958642,서울특별시
54,신촌라싸 관광호텔,서울특별시 서대문구 연세로2가길 3 (창천동),194391.16958802,450428.281096865,서울특별시
55,24게스트하우스 신촌에비뉴엘점,"서울특별시 서대문구 명물길 19, 8,9,10층 (창천동, 경오빌딩)",194425.547743193,450629.487978481,서울특별시
56,더케이호텔앤리조트(주) 더케이호텔서울,서울특별시 서초구 바우뫼로12길 70 (양재동),202833.261653939,440511.561175378,서울특별시
57,더리버사이드호텔,"서울특별시 서초구 강남대로107길 6 (잠원동, 더리버사이드호텔)",201530.475526772,446268.294338007,서울특별시
58,호텔티롤,"서울특별시 서초구 나루터로 64, 호텔티롤 (잠원동)",201428.517596116,445869.951055925,서울특별시
59,유원관광호텔,서울특별시 서초구 반포대로12길 29 (서초동),201066.818606401,442553.417053589,서울특별시
60,호텔 소설(小雪),서울특별시 서초구 반포대로14길 53 (서초동),201151.028822729,442683.649804365,서울특별시
61,호텔 페이토,서울특별시 서초구 강남대로 259 (서초동),202811.357664681,442727.748435057,서울특별시
62,신라스테이 서초,서울특별시 서초구 효령로 427 (서초동),202594.604971816,443029.088344854,서울특별시
63,업플로 호스텔,"서울특별시 서초구 서초대로56길 18, 업플로 호스텔 (서초동)",201434.03210615,443506.579876212,서울특별시
64,프로비스타 가족호텔,서울특별시 서초구 서초대로 338 (서초동),201577.653343873,443623.599964173,서울특별시
65,호텔롯데 롯데호텔월드,서울특별시 송파구 올림픽로 240 (잠실동),208589.363343145,445455.90405262,서울특별시
66,JW메리어트호텔 서울,서울특별시 서초구 신반포로 176 (반포동),200250.447804795,444683.220506107,서울특별시
67,여수夜호스텔,전라남도 여수시 하멜로 60 (종화동),268223.621435004,138087.327670703,전라남도
