,관광지명,소재지도로명주소,위도,경도,시도명
0,일제 경성호국신사 계단(108계단),서울특별시 용산구 신흥로22가길 33,37.546023,126.982542,서울특별시
1,찬바람재,서울특별시 용산구 녹사평대로 195,37.534815,126.987014,서울특별시
2,옛 남영동 대공분실(민주인권기념관),서울특별시 용산구 한강대로71길 37,37.5410116595,126.9716344944,서울특별시
3,옛 용산공설시장(현 남영아케이드),서울특별시 용산구 한강대로84길 7,37.543723,126.972924,서울특별시
4,전쟁기념관,서울특별시 용산구 이태원로 29,37.5373140468,126.9784660632,서울특별시
5,당고개 순교성지,서울특별시 용산구 청파로 139-26,37.5355901177,126.9669630492,서울특별시
6,옛 풍국제과 공장,서울특별시 용산구 백범로90다길 13,37.5356720739,126.969513493,서울특별시
7,용산신학교,서울특별시 용산구 원효로19길 49,37.5342093704,126.9545933596,서울특별시
8,서울 원효로 예수성심당,서울특별시 용산구 원효로19길 49,37.5342093704,126.9545933596,서울특별시
9,구 용산 수위관측소,nan,37.533956,126.947132,nan
10,심원정 왜명강화지처비,서울특별시 용산구 효창원로8길 28,37.5334249577,126.9518600319,서울특별시
11,청암동 부군당,서울특별시 용산구 원효로 17-11,37.534803,126.946373,서울특별시
12,산천동 부군당,서울특별시 용산구 효창원로15길 7,37.535662,126.9531702531,서울특별시
13,3.1운동 용산인쇄소 노동자 만세시위지,서울특별시 용산구 원효로41길 33,37.5354389323,126.9584156066,서울특별시
14,김해가야테마파크,경상남도 김해시 가야테마길 161,35.25163508,128.8937494,경상남도
15,김해낙동강레일파크,경상남도 김해시 생림면 마사로473번길 41,35.37177644,128.8208387,경상남도
16,가야랜드,경상남도 김해시 인제로 368(삼방동),35.25817158,128.9024348,경상남도
17,김해천문대,경상남도 김해시 가야테마길 254(어방동),35.25306424,128.887298,경상남도
18,동악산,전라남도 곡성군 곡성읍 도림로 175,35.26726372,127.2575047,전라남도
19,김포국제조각공원,경기도 김포시 월곶면 용강로13번길 38,37.72080378,126.552204,경기도
20,아트빌리지(한옥마을),경기도 김포시 모담공원로 170,37.6466321,126.696212,경기도
21,예천포리관광지,경상북도 예천군 감천면 복골길 150,36.70015808,128.514204,경상북도
22,예천삼강,경상북도 예천군 풍양면 삼강리길 53-23,36.56378393,128.304509,경상북도
23,청도박물관,경상북도 청도군 이서면 이서로 567,35.6942561,128.6865383,경상북도
24,한국코미디타운,경상북도 청도군 이서면 이서로 565,35.69358927,128.6863109,경상북도
25,청도소싸움미디어체험관,경상북도 청도군 화양읍 남성현로 346,35.68529236,128.7242012,경상북도
26,서울 한양도성(서울성곽),nan,37.551483,126.9853755887,nan
27,후암동 조선은행 사택지,서울특별시 용산구 후암로16가길 7,37.547716,126.9786783004,서울특별시
28,서울 해병대사령부 초대교회,nan,37.543034449,126.982882,nan
29,소촌아트팩토리,광주광역시 광산구 소촌로85번길 14-9,35.1526623,126.7908822,광주광역시
30,별밤미술관 in 첨단,광주광역시 광산구 첨단중앙로182번길 39,35.22222807,126.8442514,광주광역시
31,별밤미술관 in 수완,nan,35.18611658,126.8193296,nan
32,별밤미술관 in 운남,광주광역시 광산구 목련로 156,35.17144137,126.8159402,광주광역시
33,통명산,nan,35.20404024,127.2592454,nan
34,조태일시문학기념관,전라남도 곡성군 죽곡면 태안로 622-38,35.13351552,127.3685909,전라남도
35,남원백두대간생태교육장전시관,전라북도 남원시 운봉읍 운봉로 151,35.397328,127.5079302,전북특별자치도
36,만인의총,전라북도 남원시 만인로 3,35.420404,127.377325,전북특별자치도
37,아담원,전라북도 남원시 이백면 목가길 193,35.440571,127.476826,전북특별자치도
38,남원관광지,전라북도 남원시 양림길 12,35.402481,127.386137,전북특별자치도
39,으능정이문화의거리,대전광역시 중구 중앙로 170,36.32934665,127.428337,대전광역시
40,유성온천,대전광역시 유성구 계룡로60,36.3547298,127.3375865,대전광역시
41,화암관광지,강원도 정선군 화암면 화암동굴길 12-13,37.35092374,128.7896216,강원특별자치도
42,아우라지 관광지,강원도 정선군 여량면 아우라지길 69,37.47574407,128.7243663,강원특별자치도
43,곡성 섬진강 기차마을,전라남도 곡성군 오곡면 기차마을로 232,35.27753157,127.3082867,전라남도
44,기차마을 장미공원,전라남도 곡성군 오곡면 기차마을로 232,35.27753157,127.3082867,전라남도
45,협재관광지,nan,33.3934958502,126.2385968886,nan
46,곽지관광지,nan,33.4499564,126.3041171,nan
47,김녕관광지,nan,33.5548971,126.7654535215,nan
48,40계단테마거리,부산광역시 중구 대청로135번길 13,35.10397225,129.0346287,부산광역시
49,BIFF광장,부산광역시 중구 비프광장로 36,35.09862035,129.0287588,부산광역시
50,영도대교,부산광역시 중구 태종로 8,35.09725344,129.035681,부산광역시
51,보수동책방골목,부산광역시 중구 대청로 57-1,35.10323904,129.0263248,부산광역시
52,용두산공원,부산광역시 중구 용두산길 37-55,35.1009305,129.0324434,부산광역시
53,광복로,부산광역시 중구 광복중앙로 1,35.09947039,129.0311659,부산광역시
54,부산영화체험박물관,부산광역시 중구 대청로126번길 12,35.10169342,129.033594,부산광역시
55,작괘천,nan,35.55162452,129.0953395,nan
56,대운산 내원암 계곡,울산광역시 울주군 온양읍 대운상대길 382,35.39913422,129.2309807,울산광역시
57,간절곶 공원,울산광역시 울주군 서생면 간절곶해안길 205,35.3625312,129.3591079,울산광역시
58,어답산관광지,강원특별자치도 횡성군 갑천면 어답산로 516,37.59380861,128.0575207,강원특별자치도
59,유현문화관광지,강원특별자치도 횡성군 서원면 경강로유현1길 30,37.52903211,127.8186829,강원특별자치도
60,웰리힐리파크 관광단지,강원특별자치도 횡성군 둔내면 고원로 451,37.49012611,128.2501389,강원특별자치도
61,무궁화오토캠핑장,전라북도 완주군 고산면 고산휴양림로 89,35.97398132,127.2315513,전북특별자치도
62,송광사&벚꽃길,전라북도 완주군 소양면 송광수만로 255-16,35.885763,127.2417509,전북특별자치도
63,위봉사&위봉폭포&위봉산성,전라북도 완주군 소양면 위봉길 53,35.9105769,127.2572831,전북특별자치도
64,화암사,전라북도 완주군 경천면 화암사길 271,36.06629938,127.2872339,전북특별자치도
65,춘향테마파크,전라북도 남원시 양림길 14-9,35.401464,127.386902,전북특별자치도
66,남원항공우주천문대,전라북도 남원시 양림길 48-63,35.399194,127.387388,전북특별자치도
67,남원시립김병종미술관,전라북도 남원시 함파우길 65-14,35.398706,127.389555,전북특별자치도
68,혼불문학관,전라북도 남원시 사매면 노봉안길 52,35.481096,127.319992,전북특별자치도
69,국악의 성지,전라북도 남원시 운봉읍 비전길 69,35.459997,127.569101,전북특별자치도
70,지리산허브밸리,전라북도 남원시 운봉읍 바래봉길 214,35.435092,127.548617,전북특별자치도
71,임경대,경상남도 양산시 원동면 원동로 285,35.32243455,128.9778074,경상남도
72,통도사,경상남도 양산시 하북면 통도사로 108,35.47540912,129.0563672,경상남도
73,통도환타지아,경상남도 양산시 하북면 통도7길 68,35.4999924,129.0831299,경상남도
74,홍룡폭포(홍룡사),경상남도 양산시 상북면 홍룡로 372,35.39699967,129.0864895,경상남도
75,황산공원,경상남도 양산시 물금읍 황산공원5길 13,35.3019874549,128.9909861394,경상남도
76,대둔산도립공원,전라북도 완주군 운주면 대둔산공원길 23,36.11708032,127.3328815,전북특별자치도
77,모악산도립공원,전라북도 완주군 구이면 모악산길 91,35.72946608,127.1098589,전북특별자치도
78,고산자연휴양림,전라북도 완주군 고산면 고산휴양림로 246,35.96224205,127.2328719,전북특별자치도
79,상관 공기마을 편백숲,전라북도 완주군 상관면 죽림편백길 191-24,35.737491,127.2023884,전북특별자치도
80,대아수목원&대아호,전라북도 완주군 동상면 대아수목로 94-34,35.97623865,127.3003851,전북특별자치도
81,비비정,전라북도 완주군 삼례읍 비비정길 96-9,35.90154901,127.071693,전북특별자치도
82,비비정예술열차,전라북도 완주군 삼례읍 비비정길 73-21,35.89880244,127.0676418,전북특별자치도
83,삼례문화예술촌,전라북도 완주군 삼례읍 삼례역로 81-13,35.90623513,127.0658535,전북특별자치도
84,삼례책마을,전라북도 완주군 삼례읍 삼례역로 68,35.90745719,127.065756,전북특별자치도
85,그림책미술관,전라북도 완주군 삼례읍 삼례역로 48-1,35.90832046,127.068059,전북특별자치도
86,대한민국술테마박물관,전라북도 완주군 구이면 덕천전원길 232-58,35.726048,127.1361627,전북특별자치도
87,완주전통문화체험장,전라북도 완주군 고산면 대아저수로 416,35.98879491,127.261342,전북특별자치도
88,청소년전통문화체험관,전라북도 완주군 고산면 대아저수로 416,35.98879491,127.261342,전북특별자치도
89,놀토피아,전라북도 완주군 고산면 대아저수로 416,35.98879491,127.261342,전북특별자치도
90,오성한옥마을,전라북도 완주군 소양면 오도길 73,35.90695186,127.2367573,전북특별자치도
