,사업장명,도로명전체주소,좌표정보(x),좌표정보(y),시도명
0,투어월드(주),광주광역시 동구 필문대로 135 (산수동),193674.51470337,184391.734781963,광주광역시
1,(주)케이엠이,"대구광역시 중구 2·28길 36, 2층 (남산동)",343487.118675839,263259.765332492,대구광역시
2,(주)코리아인투어,"대구광역시 중구 동성로3길 91 (공평동, 근린생활시설)",344268.966084562,264432.966892735,대구광역시
3,(주)세븐레이즈투어,대구광역시 중구 경상감영길 28 (서문로1가),343436.3116066,264601.46276033,대구광역시
4,(주)킴스여행,"대구광역시 중구 서성로 20, 1005호 (계산동2가)",343307.679331357,264290.767739334,대구광역시
5,(주)국제의료교육관광,대구광역시 수성구 청호로67길 76-5 (황금동),347710.716263223,262146.88762515,대구광역시
6,골프업코리아 주식회사,"대구광역시 수성구 동대구로 386, 13층 1304호 (범어동)",346942.691096638,263989.847736771,대구광역시
7,(주)수아벨 알앤디,"대구광역시 수성구 동원로1길 16 (범어동, 범어빌)",347992.384838839,263446.670862582,대구광역시
8,(주)래디언트코리아,"대구광역시 중구 국채보상로 586, 교보생명빌딩 16층 1659호 (동성로2가)",343959.823762185,264529.393559855,대구광역시
9,(주)와이제이 메디컬투어,"대구광역시 중구 국채보상로102길 39, 1층 (계산동1가)",343203.021710843,264341.249083285,대구광역시
10,(주)위더스,"충청남도 계룡시 서금암3길 5, 8층 809호 (금암동, 쉐리움)",222855.790714442,307932.893189157,충청남도
11,(주) 엘케이트래블,"서울특별시 서초구 서초대로74길 23, 707호 (서초동, 서초타운트라팰리스)",202326.145704288,443714.177835024,서울특별시
12,썬샤인코리아,"서울특별시 중구 세종대로20길 23, 803호 (무교동, 원창빌딩 7층)",198053.591672742,451652.397672222,서울특별시
13,(주)천운국제여행사,"서울특별시 종로구 삼봉로 81, 1330호 (수송동, 두산위브파빌리온)",198324.653631679,452252.812389497,서울특별시
14,(주)이노비스 에이에이치엠,"서울특별시 종로구 종로 1  (종로1가,교보빌딩 15층)",197993.904628438,452032.958591394,서울특별시
15,(주)에스제이코리아투어,"서울특별시 서초구 서초중앙로 114, 214호 (서초동, 일광빌딩)",201194.57518776,443304.838805011,서울특별시
16,바이크오아시스 코리아,"서울특별시 종로구 새문안로5가길 28, 1505호 (적선동, 광화문플래티넘)",197595.161312175,452460.054621887,서울특별시
18,(주)혜성관광,"서울특별시 중구 서소문로 130 (서소문동,대양빌딩)",197769.10049981,451242.910011755,서울특별시
19,(주)여행사닷컴,"서울특별시 성북구 보문로 35  (보문동7가,서광빌딩 10층)",201925.121532202,452935.221547454,서울특별시
20,주식회사 구월송글로벌,"서울특별시 서초구 강남대로 631, 1106호 (잠원동, 크레신타워)",201565.957243521,446206.354902748,서울특별시
21,금화투어(주),"서울특별시 종로구 종로 19, 7층 741호 (종로1가, 르메이에르종로타운1)",198150.300374121,452019.212642931,서울특별시
22,(주)해금강투어,"서울특별시 종로구 종로 19, 11층 1122호 (종로1가, 르메이에르종로타운)",198150.300374121,452019.212642931,서울특별시
23,(주)일품국제여행사,"서울특별시 종로구 종로 19, 11층 1122호 (종로1가, 르메이에르종로타운)",198150.300374121,452019.212642931,서울특별시
24,(주)사관과 여행,"서울특별시 서초구 방배천로 62, 202호 (방배동)",198410.876785104,442208.225545224,서울특별시
25,(주)블루스타트래블앤투어스,"서울특별시 중구 서소문로 116  (서소문동,유원빌딩 6층)",197638.403594278,451154.232387243,서울특별시
26,비전투어,"서울특별시 중구 동호로33길 24,  2062호 (오장동)",200015.499568016,451485.349952584,서울특별시
27,(주)울트라투어,"서울특별시 종로구 새문안로5길 19,  812호 (당주동,로얄빌딩)",197662.503910553,452189.09236786,서울특별시
29,주식회사 몬테소리투어,"서울특별시 서초구 강남대로 279, 4층 (서초동)",202728.831388676,442876.963294868,서울특별시
30,퀸즈홀딩스(주),"서울특별시 중구 퇴계로18길 22, 201호 (남산동1가,창영빌딩)",198615.676840325,450852.648245869,서울특별시
31,(주)아주관광,"서울특별시 중구 무교로 28 (무교동,시그너스빌딩 2층)",198127.72801526,451800.726494393,서울특별시
32,(주)세계일류여행사[없어짐],"서울특별시 종로구 새문안로 92,  1129호 (신문로1가,광화문오피시아)",197713.264843734,451938.037703258,서울특별시
33,(주)신신사유람단,"서울특별시 종로구 종로 19, 1020호 (종로1가, 르메이에르종로타운)",198150.300374121,452019.212642931,서울특별시
34,(주)유학닷컴,"서울특별시 종로구 삼일대로 386, 10층 (관철동, 시네코아빌딩)",198883.495161441,451852.440739439,서울특별시
35,(주)세종인터내셔널,"서울특별시 종로구 율곡로 84, 502호 (운니동, 가든타워)",198910.899366062,452750.505122507,서울특별시
36,(주)유웨이투어,"서울특별시 종로구 수표로26길 27, 5층 402호 (돈의동, 한일빌딩)",199069.925950391,452236.170922534,서울특별시
37,서울오타쿠닷컴,"서울특별시 중구 소파로 129 (남산동2가,명지빌딩 803호)",198783.056789386,450732.471972874,서울특별시
38,(주)해피코리아,"서울특별시 종로구 종로 309-1, 201호 (창신동)",200996.047752172,452212.410948552,서울특별시
39,주식회사 인하국제여행사,"서울특별시 서초구 신반포로45길 22, 은양빌딩 304호 (잠원동)",201598.475170439,445478.801976088,서울특별시
40,주식회사 아로라,"서울특별시 종로구 지봉로4길 13, 905호 (숭인동, 삼전솔하임4차)",201406.761218327,452116.264828813,서울특별시
41,(주)카엘바이오서비스,"서울특별시 종로구 종로 69,  707호 (종로2가,Y.M.C.A 7층)",198630.79627088,452035.412646906,서울특별시
42,(주)리얼투어코리아,"서울특별시 종로구 새문안로5가길 3-1,  702호 (당주동,영진빌딩)",197657.298110478,452243.596729853,서울특별시
